Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-12,12.94,13.04,12.55,12.74,12.74,2096200,0
2018-02-13,12.77,13.08,12.65,12.9,12.9,351600,1
2018-02-14,12.76,13.35,12.71,13.29,13.29,904200,2
2018-02-15,13.41,13.44,13.03,13.26,13.26,328800,3
2018-02-16,13.2,13.65,13.13,13.25,13.25,763000,4
2018-02-20,13.14,13.55,13.11,13.48,13.48,807100,5
2018-02-21,13.47,13.79,13.25,13.45,13.45,917400,6
2018-02-22,13.56,13.86,13.48,13.75,13.75,826300,7
2018-02-23,13.88,13.9,13.66,13.73,13.73,696400,8
2018-02-26,13.73,14.76,13.68,14.67,14.67,1635600,9
2018-02-27,14.82,14.95,13.98,14.07,14.07,1762200,10
2018-02-28,13.2,13.34,12.02,12.24,12.24,3891400,11
2018-03-01,12.75,13.67,12.64,12.92,12.92,1816900,12
2018-03-02,12.95,13.77,12.8,13.63,13.63,1722700,13
2018-03-05,13.49,13.77,13.46,13.52,13.52,1238100,14
2018-03-06,13.52,13.97,13.46,13.95,13.95,1193300,15
2018-03-07,13.78,14.35,13.74,14.32,14.32,1180000,16
2018-03-08,14.37,14.54,13.91,14.11,14.11,951000,17
2018-03-09,14.12,14.25,13.95,14.18,14.18,990100,18
2018-03-12,14.24,14.36,14.17,14.22,14.22,748800,19
2018-03-13,14.24,14.6,14.24,14.31,14.31,1353800,20
2018-03-14,14.37,14.5,14.13,14.19,14.19,740900,21
2018-03-15,14.18,14.44,14.12,14.31,14.31,603000,22
2018-03-16,14.35,14.98,14.35,14.87,14.87,1528100,23
2018-03-19,14.75,15.11,14.58,15.01,15.01,1486600,24
2018-03-20,15.07,15.49,15.06,15.34,15.34,999000,25
2018-03-21,15.33,15.59,15.33,15.55,15.55,713100,26
2018-03-22,15.49,15.85,15.49,15.5,15.5,843300,27
2018-03-23,15.58,15.76,15.41,15.41,15.41,1382300,28
2018-03-26,15.64,16,15.64,15.92,15.92,1626500,29
2018-03-27,16,16.129999,15.57,15.92,15.92,973100,30
2018-03-28,15.95,16.360001,15.91,16.059999,16.059999,976500,31
2018-03-29,16.190001,16.5,16.15,16.25,16.25,729300,32
2018-04-02,16.27,16.32,15.72,15.89,15.89,790900,33
2018-04-03,15.97,16.59,15.95,16.58,16.58,930800,34
2018-04-04,16.440001,17.07,16.27,17.02,17.02,986100,35
2018-04-05,17.209999,17.43,16.950001,17.32,17.32,1410500,36
