Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-12,19.700001,19.809999,19.65,19.790001,19.790001,19500,0
2018-02-13,20.1,20.280001,20.09,20.280001,20.280001,13300,1
2018-02-14,20.370001,20.709999,20.34,20.690001,20.690001,37200,2
2018-02-15,20.719999,20.719999,20.59,20.700001,20.700001,2300,3
2018-02-16,20.65,20.85,20.65,20.65,20.65,155200,4
2018-02-20,20.549999,20.549999,20.389999,20.43,20.43,3800,5
2018-02-21,20.42,20.68,20.42,20.5,20.5,7100,6
2018-02-22,20.620001,20.620001,20.620001,20.620001,20.620001,700,7
2018-02-23,20.5,20.58,20.43,20.540001,20.540001,6800,8
2018-02-26,20.52,20.559999,20.469999,20.549999,20.549999,6400,9
2018-02-27,20.360001,20.360001,20.219999,20.25,20.25,1700,10
2018-02-28,20.15,20.15,19.91,19.959999,19.959999,6700,11
2018-03-01,19.75,19.98,19.75,19.940001,19.940001,5300,12
2018-03-02,19.879999,19.950001,19.809999,19.950001,19.950001,2400,13
2018-03-05,19.9,19.950001,19.84,19.84,19.84,20600,14
2018-03-06,20.1,20.139999,20.059999,20.059999,20.059999,1300,15
2018-03-07,19.959999,20.01,19.92,19.98,19.98,3000,16
2018-03-08,19.59,19.639999,19.549999,19.610001,19.610001,29300,17
2018-03-09,19.870001,20.01,19.82,20,20,10700,18
2018-03-12,19.969999,19.969999,19.85,19.85,19.85,2800,19
2018-03-13,19.959999,20.040001,19.92,19.969999,19.969999,5000,20
2018-03-14,20.190001,20.280001,20.07,20.120001,20.120001,16900,21
2018-03-15,19.85,19.950001,19.799999,19.950001,19.950001,5000,22
2018-03-16,19.85,19.85,19.700001,19.75,19.75,1200,23
2018-03-19,19.77,19.77,19.559999,19.559999,19.559999,2100,24
2018-03-20,19.35,19.42,19.35,19.370001,19.370001,1300,25
2018-03-21,19.41,19.719999,19.309999,19.65,19.65,4200,26
2018-03-22,19.360001,19.370001,19.18,19.299999,19.299999,5700,27
2018-03-23,19.209999,19.25,18.99,19.049999,19.049999,2900,28
2018-03-26,19.040001,19.040001,18.969999,19.040001,19.040001,4100,29
2018-03-27,19.02,19.17,19.02,19.040001,19.040001,16100,30
2018-03-28,19.09,19.15,19.09,19.120001,19.120001,1400,31
2018-03-29,19.379999,19.379999,19.200001,19.200001,19.200001,4400,32
2018-04-02,19.49,19.52,19.41,19.41,19.41,5300,33
2018-04-03,19.42,19.549999,19.42,19.51,19.51,1200,34
2018-04-04,19.17,19.200001,19.17,19.200001,19.200001,3400,35
2018-04-05,19.370001,19.370001,19.370001,19.370001,19.370001,800,36
2018-04-06,19.34,19.42,19.219999,19.42,19.42,1400,37
2018-04-09,19.59,19.65,19.549999,19.549999,19.549999,4900,38
2018-04-10,19.91,20,19.889999,19.950001,19.950001,4700,39
2018-04-11,19.93,19.950001,19.83,19.85,19.85,2900,40
2018-04-12,19.4,19.5,19.4,19.5,19.5,400,41
2018-04-13,19.549999,19.559999,19.549999,19.559999,19.559999,700,42
2018-04-16,19.790001,19.790001,19.700001,19.700001,19.700001,400,43
2018-04-17,19.57,19.639999,19.52,19.639999,19.639999,1900,44
2018-04-18,20.16,20.16,20.110001,20.15,20.15,4300,45
2018-04-19,19.959999,19.959999,19.959999,19.959999,19.959999,500,46
2018-04-20,19.959999,20.049999,19.959999,20.02,20.02,1100,47
2018-04-23,20.219999,20.219999,19.76,19.809999,19.809999,5600,48
2018-04-24,20.08,20.08,20.049999,20.049999,20.049999,7200,49
2018-04-25,20.02,20.02,20,20,20,900,50
2018-04-26,19.959999,19.98,19.870001,19.92,19.92,15500,51
2018-04-27,19.440001,19.530001,19.41,19.530001,19.530001,5000,52
2018-04-30,19.459999,19.530001,19.370001,19.5,19.5,1900,53
2018-05-01,19.280001,19.360001,19.17,19.360001,19.360001,3600,54
2018-05-02,19.43,19.450001,19.43,19.450001,19.450001,400,55
2018-05-03,19.559999,19.66,19.559999,19.610001,19.610001,3300,56
2018-05-04,19.469999,19.540001,19.450001,19.540001,19.540001,3100,57
2018-05-07,19.690001,19.690001,19.549999,19.549999,19.549999,1900,58
2018-05-08,19.360001,19.5,19.190001,19.49,19.49,2900,59
